Del_C:G_1_NA	Del_C:G_2_NA	Del_C:G_3_NA	Del_C:G_4_NA	Del_C:G_5_NA	Del_C:G_6+_NA	Del_T:A_1_NA	Del_T:A_2_NA	Del_T:A_3_NA	Del_T:A_4_NA	Del_T:A_5_NA	Del_T:A_6+_NA	Ins_C:G_0_NA	Ins_C:G_1_NA	Ins_C:G_2_NA	Ins_C:G_3_NA	Ins_C:G_4_NA	Ins_C:G_5+_NA	Ins_T:A_0_NA	Ins_T:A_1_NA	Ins_T:A_2_NA	Ins_T:A_3_NA	Ins_T:A_4_NA	Ins_T:A_5+_NA	Del_2bp_1_NA	Del_2bp_2_NA	Del_2bp_3_NA	Del_2bp_4_NA	Del_2bp_5_NA	Del_2bp_6+_NA	Del_3bp_1_NA	Del_3bp_2_NA	Del_3bp_3_NA	Del_3bp_4_NA	Del_3bp_5_NA	Del_3bp_6+_NA	Del_4bp_1_NA	Del_4bp_2_NA	Del_4bp_3_NA	Del_4bp_4_NA	Del_4bp_5_NA	Del_4bp_6+_NA	Del_5+bp_1_NA	Del_5+bp_2_NA	Del_5+bp_3_NA	Del_5+bp_4_NA	Del_5+bp_5_NA	Del_5+bp_6+_NA	Ins_2bp_0_NA	Ins_2bp_1_NA	Ins_2bp_2_NA	Ins_2bp_3_NA	Ins_2bp_4_NA	Ins_2bp_5+_NA	Ins_3bp_0_NA	Ins_3bp_1_NA	Ins_3bp_2_NA	Ins_3bp_3_NA	Ins_3bp_4_NA	Ins_3bp_5+_NA	Ins_4bp_0_NA	Ins_4bp_1_NA	Ins_4bp_2_NA	Ins_4bp_3_NA	Ins_4bp_4_NA	Ins_4bp_5+_NA	Ins_5+bp_0_NA	Ins_5+bp_1_NA	Ins_5+bp_2_NA	Ins_5+bp_3_NA	Ins_5+bp_4_NA	Ins_5+bp_5+_NA	Del_2bp_1_1bp	Del_3bp_1_1bp	Del_3bp_1_2bp	Del_4bp_1_1bp	Del_4bp_1_2bp	Del_4bp_1_3bp	Del_5+bp_1_1bp	Del_5+bp_1_2bp	Del_5+bp_1_3bp	Del_5+bp_1_4bp	Del_5+bp_1_5+bp
O187:2	4	2	0	2	2	1	8	4	1	1	1	20	0	1	0	0	0	0	2	1	2	0	1	20	0	2	2	0	0	0	0	4	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	1	0	0	0
O187:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O187:4	5	3	2	0	1	0	3	1	4	6	0	15	2	0	0	0	0	1	0	3	1	0	1	25	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	3	0	1	0	1	1	0	1	4
O187:5	7	2	2	0	0	1	5	1	0	3	3	10	0	1	1	0	0	0	0	3	1	0	0	18	0	2	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0
O187:6	2	3	0	1	2	3	1	1	1	4	0	20	0	0	0	1	0	1	0	0	0	0	0	14	0	1	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	3	1	1	0	0	0	1	2	0	1	0
O187:7	4	3	4	1	0	0	5	3	5	1	1	13	0	1	1	1	0	2	1	2	1	0	0	33	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	3	0	0	1	1	0	0	0	0
O189:1	9	5	3	1	2	2	23	25	18	44	12	25	1	0	1	0	1	4	0	3	2	1	2	65	0	5	5	0	0	2	0	4	2	0	0	0	1	2	0	0	0	0	2	2	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	4	0	2	0	1	3	1	0	2	0	2
O189:2	3	4	0	0	1	0	10	9	13	17	6	7	1	0	0	0	0	0	0	0	0	0	0	19	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
O189:3	11	2	1	2	0	0	5	8	6	6	3	18	0	0	0	0	1	0	0	0	1	1	2	45	1	5	2	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	2	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	3	0	1	1	0	0	2	0	0
O189:4	4	2	2	1	0	0	1	6	2	2	7	17	0	1	1	0	1	1	2	0	1	0	2	43	1	1	0	0	0	0	0	2	1	0	0	0	0	3	0	0	1	0	1	0	1	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	2	0	1	1	1	0	2	2	0	0	1
